,date,births,wday,year,month,day_of_year,day_of_month,day_of_week
1,01-01-2015,8068,Thu,2015,1,1,1,5
2,02-01-2015,10850,Fri,2015,1,2,2,6
3,03-01-2015,8328,Sat,2015,1,3,3,7
4,04-01-2015,7065,Sun,2015,1,4,4,1
5,05-01-2015,11892,Mon,2015,1,5,5,2
6,06-01-2015,12425,Tue,2015,1,6,6,3
7,07-01-2015,12141,Wed,2015,1,7,7,4
8,08-01-2015,12094,Thu,2015,1,8,8,5
9,09-01-2015,11868,Fri,2015,1,9,9,6
10,10-01-2015,8014,Sat,2015,1,10,10,7
11,11-01-2015,7172,Sun,2015,1,11,11,1
12,12-01-2015,11479,Mon,2015,1,12,12,2
13,13-01-2015,11924,Tue,2015,1,13,13,3
14,14-01-2015,12013,Wed,2015,1,14,14,4
15,15-01-2015,12339,Thu,2015,1,15,15,5
16,16-01-2015,11861,Fri,2015,1,16,16,6
17,17-01-2015,8280,Sat,2015,1,17,17,7
18,18-01-2015,7195,Sun,2015,1,18,18,1
19,19-01-2015,10602,Mon,2015,1,19,19,2
20,20-01-2015,12242,Tue,2015,1,20,20,3
21,21-01-2015,12086,Wed,2015,1,21,21,4
22,22-01-2015,11949,Thu,2015,1,22,22,5
23,23-01-2015,11910,Fri,2015,1,23,23,6
24,24-01-2015,8235,Sat,2015,1,24,24,7
25,25-01-2015,7186,Sun,2015,1,25,25,1
26,26-01-2015,11728,Mon,2015,1,26,26,2
27,27-01-2015,11882,Tue,2015,1,27,27,3
28,28-01-2015,11602,Wed,2015,1,28,28,4
29,29-01-2015,11967,Thu,2015,1,29,29,5
30,30-01-2015,11571,Fri,2015,1,30,30,6
31,31-01-2015,7987,Sat,2015,1,31,31,7
32,01-02-2015,7139,Sun,2015,2,32,1,1
33,02-02-2015,11480,Mon,2015,2,33,2,2
34,03-02-2015,12079,Tue,2015,2,34,3,3
35,04-02-2015,11924,Wed,2015,2,35,4,4
36,05-02-2015,11821,Thu,2015,2,36,5,5
37,06-02-2015,11656,Fri,2015,2,37,6,6
38,07-02-2015,8285,Sat,2015,2,38,7,7
39,08-02-2015,7265,Sun,2015,2,39,8,1
40,09-02-2015,11937,Mon,2015,2,40,9,2
41,10-02-2015,12291,Tue,2015,2,41,10,3
42,11-02-2015,11911,Wed,2015,2,42,11,4
43,12-02-2015,12285,Thu,2015,2,43,12,5
44,13-02-2015,11321,Fri,2015,2,44,13,6
45,14-02-2015,8390,Sat,2015,2,45,14,7
46,15-02-2015,7508,Sun,2015,2,46,15,1
47,16-02-2015,11038,Mon,2015,2,47,16,2
48,17-02-2015,11952,Tue,2015,2,48,17,3
49,18-02-2015,12061,Wed,2015,2,49,18,4
50,19-02-2015,11968,Thu,2015,2,50,19,5
51,20-02-2015,11864,Fri,2015,2,51,20,6
52,21-02-2015,8343,Sat,2015,2,52,21,7
53,22-02-2015,7254,Sun,2015,2,53,22,1
54,23-02-2015,11260,Mon,2015,2,54,23,2
55,24-02-2015,11941,Tue,2015,2,55,24,3
56,25-02-2015,11828,Wed,2015,2,56,25,4
57,26-02-2015,11672,Thu,2015,2,57,26,5
58,27-02-2015,11596,Fri,2015,2,58,27,6
59,28-02-2015,7989,Sat,2015,2,59,28,7
60,01-03-2015,7273,Sun,2015,3,60,1,1
61,02-03-2015,11609,Mon,2015,3,61,2,2
62,03-03-2015,12402,Tue,2015,3,62,3,3
63,04-03-2015,11927,Wed,2015,3,63,4,4
64,05-03-2015,11681,Thu,2015,3,64,5,5
65,06-03-2015,11612,Fri,2015,3,65,6,6
66,07-03-2015,7980,Sat,2015,3,66,7,7
67,08-03-2015,6929,Sun,2015,3,67,8,1
68,09-03-2015,11678,Mon,2015,3,68,9,2
69,10-03-2015,12282,Tue,2015,3,69,10,3
70,11-03-2015,11850,Wed,2015,3,70,11,4
71,12-03-2015,12042,Thu,2015,3,71,12,5
72,13-03-2015,10940,Fri,2015,3,72,13,6
73,14-03-2015,8217,Sat,2015,3,73,14,7
74,15-03-2015,7202,Sun,2015,3,74,15,1
75,16-03-2015,11537,Mon,2015,3,75,16,2
76,17-03-2015,12312,Tue,2015,3,76,17,3
77,18-03-2015,11807,Wed,2015,3,77,18,4
78,19-03-2015,11721,Thu,2015,3,78,19,5
79,20-03-2015,12040,Fri,2015,3,79,20,6
80,21-03-2015,8080,Sat,2015,3,80,21,7
81,22-03-2015,7171,Sun,2015,3,81,22,1
82,23-03-2015,11674,Mon,2015,3,82,23,2
83,24-03-2015,12333,Tue,2015,3,83,24,3
84,25-03-2015,11872,Wed,2015,3,84,25,4
85,26-03-2015,12065,Thu,2015,3,85,26,5
86,27-03-2015,11629,Fri,2015,3,86,27,6
87,28-03-2015,8071,Sat,2015,3,87,28,7
88,29-03-2015,7125,Sun,2015,3,88,29,1
89,30-03-2015,11500,Mon,2015,3,89,30,2
90,31-03-2015,12362,Tue,2015,3,90,31,3
91,01-04-2015,11596,Wed,2015,4,91,1,4
92,02-04-2015,12296,Thu,2015,4,92,2,5
93,03-04-2015,11234,Fri,2015,4,93,3,6
94,04-04-2015,7981,Sat,2015,4,94,4,7
95,05-04-2015,6821,Sun,2015,4,95,5,1
96,06-04-2015,11455,Mon,2015,4,96,6,2
97,07-04-2015,12334,Tue,2015,4,97,7,3
98,08-04-2015,11976,Wed,2015,4,98,8,4
99,09-04-2015,11874,Thu,2015,4,99,9,5
100,10-04-2015,11724,Fri,2015,4,100,10,6
101,11-04-2015,8092,Sat,2015,4,101,11,7
102,12-04-2015,7141,Sun,2015,4,102,12,1
103,13-04-2015,11503,Mon,2015,4,103,13,2
104,14-04-2015,12309,Tue,2015,4,104,14,3
105,15-04-2015,11794,Wed,2015,4,105,15,4
106,16-04-2015,11947,Thu,2015,4,106,16,5
107,17-04-2015,11718,Fri,2015,4,107,17,6
108,18-04-2015,8028,Sat,2015,4,108,18,7
109,19-04-2015,7180,Sun,2015,4,109,19,1
110,20-04-2015,11513,Mon,2015,4,110,20,2
111,21-04-2015,12173,Tue,2015,4,111,21,3
112,22-04-2015,11917,Wed,2015,4,112,22,4
113,23-04-2015,11877,Thu,2015,4,113,23,5
114,24-04-2015,11749,Fri,2015,4,114,24,6
115,25-04-2015,8101,Sat,2015,4,115,25,7
116,26-04-2015,7178,Sun,2015,4,116,26,1
117,27-04-2015,11494,Mon,2015,4,117,27,2
118,28-04-2015,12221,Tue,2015,4,118,28,3
119,29-04-2015,11775,Wed,2015,4,119,29,4
120,30-04-2015,11831,Thu,2015,4,120,30,5
121,01-05-2015,12178,Fri,2015,5,121,1,6
122,02-05-2015,8075,Sat,2015,5,122,2,7
123,03-05-2015,7195,Sun,2015,5,123,3,1
124,04-05-2015,11724,Mon,2015,5,124,4,2
125,05-05-2015,12618,Tue,2015,5,125,5,3
126,06-05-2015,11924,Wed,2015,5,126,6,4
127,07-05-2015,11649,Thu,2015,5,127,7,5
128,08-05-2015,11810,Fri,2015,5,128,8,6
129,09-05-2015,8216,Sat,2015,5,129,9,7
130,10-05-2015,7246,Sun,2015,5,130,10,1
131,11-05-2015,11549,Mon,2015,5,131,11,2
132,12-05-2015,12400,Tue,2015,5,132,12,3
133,13-05-2015,11572,Wed,2015,5,133,13,4
134,14-05-2015,11793,Thu,2015,5,134,14,5
135,15-05-2015,12306,Fri,2015,5,135,15,6
136,16-05-2015,8337,Sat,2015,5,136,16,7
137,17-05-2015,7354,Sun,2015,5,137,17,1
138,18-05-2015,11708,Mon,2015,5,138,18,2
139,19-05-2015,12469,Tue,2015,5,139,19,3
140,20-05-2015,12352,Wed,2015,5,140,20,4
141,21-05-2015,12246,Thu,2015,5,141,21,5
142,22-05-2015,12147,Fri,2015,5,142,22,6
143,23-05-2015,8267,Sat,2015,5,143,23,7
144,24-05-2015,7261,Sun,2015,5,144,24,1
145,25-05-2015,7746,Mon,2015,5,145,25,2
146,26-05-2015,12242,Tue,2015,5,146,26,3
147,27-05-2015,12845,Wed,2015,5,147,27,4
148,28-05-2015,12722,Thu,2015,5,148,28,5
149,29-05-2015,12168,Fri,2015,5,149,29,6
150,30-05-2015,8431,Sat,2015,5,150,30,7
151,31-05-2015,7367,Sun,2015,5,151,31,1
152,01-06-2015,11793,Mon,2015,6,152,1,2
153,02-06-2015,11994,Tue,2015,6,153,2,3
154,03-06-2015,11890,Wed,2015,6,154,3,4
155,04-06-2015,11918,Thu,2015,6,155,4,5
156,05-06-2015,12303,Fri,2015,6,156,5,6
157,06-06-2015,8313,Sat,2015,6,157,6,7
158,07-06-2015,7230,Sun,2015,6,158,7,1
159,08-06-2015,11938,Mon,2015,6,159,8,2
160,09-06-2015,12479,Tue,2015,6,160,9,3
161,10-06-2015,12123,Wed,2015,6,161,10,4
162,11-06-2015,12029,Thu,2015,6,162,11,5
163,12-06-2015,12064,Fri,2015,6,163,12,6
164,13-06-2015,8104,Sat,2015,6,164,13,7
165,14-06-2015,7292,Sun,2015,6,165,14,1
166,15-06-2015,12348,Mon,2015,6,166,15,2
167,16-06-2015,12400,Tue,2015,6,167,16,3
168,17-06-2015,12192,Wed,2015,6,168,17,4
169,18-06-2015,12323,Thu,2015,6,169,18,5
170,19-06-2015,11767,Fri,2015,6,170,19,6
171,20-06-2015,8451,Sat,2015,6,171,20,7
172,21-06-2015,7580,Sun,2015,6,172,21,1
173,22-06-2015,11883,Mon,2015,6,173,22,2
174,23-06-2015,12351,Tue,2015,6,174,23,3
175,24-06-2015,12292,Wed,2015,6,175,24,4
176,25-06-2015,12416,Thu,2015,6,176,25,5
177,26-06-2015,12152,Fri,2015,6,177,26,6
178,27-06-2015,8652,Sat,2015,6,178,27,7
179,28-06-2015,7371,Sun,2015,6,179,28,1
180,29-06-2015,11961,Mon,2015,6,180,29,2
181,30-06-2015,12932,Tue,2015,6,181,30,3
182,01-07-2015,13033,Wed,2015,7,182,1,4
183,02-07-2015,13038,Thu,2015,7,183,2,5
184,03-07-2015,10375,Fri,2015,7,184,3,6
185,04-07-2015,7944,Sat,2015,7,185,4,7
186,05-07-2015,7164,Sun,2015,7,186,5,1
187,06-07-2015,12088,Mon,2015,7,187,6,2
188,07-07-2015,13426,Tue,2015,7,188,7,3
189,08-07-2015,12788,Wed,2015,7,189,8,4
190,09-07-2015,12517,Thu,2015,7,190,9,5
191,10-07-2015,12396,Fri,2015,7,191,10,6
192,11-07-2015,8769,Sat,2015,7,192,11,7
193,12-07-2015,7591,Sun,2015,7,193,12,1
194,13-07-2015,11835,Mon,2015,7,194,13,2
195,14-07-2015,12862,Tue,2015,7,195,14,3
196,15-07-2015,12853,Wed,2015,7,196,15,4
197,16-07-2015,12502,Thu,2015,7,197,16,5
198,17-07-2015,12291,Fri,2015,7,198,17,6
199,18-07-2015,8546,Sat,2015,7,199,18,7
200,19-07-2015,7681,Sun,2015,7,200,19,1
201,20-07-2015,12424,Mon,2015,7,201,20,2
202,21-07-2015,13264,Tue,2015,7,202,21,3
203,22-07-2015,12519,Wed,2015,7,203,22,4
204,23-07-2015,12852,Thu,2015,7,204,23,5
205,24-07-2015,12612,Fri,2015,7,205,24,6
206,25-07-2015,8748,Sat,2015,7,206,25,7
207,26-07-2015,7836,Sun,2015,7,207,26,1
208,27-07-2015,12416,Mon,2015,7,208,27,2
209,28-07-2015,13240,Tue,2015,7,209,28,3
210,29-07-2015,12739,Wed,2015,7,210,29,4
211,30-07-2015,12797,Thu,2015,7,211,30,5
212,31-07-2015,12269,Fri,2015,7,212,31,6
213,01-08-2015,8851,Sat,2015,8,213,1,7
214,02-08-2015,7907,Sun,2015,8,214,2,1
215,03-08-2015,12449,Mon,2015,8,215,3,2
216,04-08-2015,13149,Tue,2015,8,216,4,3
217,05-08-2015,12793,Wed,2015,8,217,5,4
218,06-08-2015,12872,Thu,2015,8,218,6,5
219,07-08-2015,12770,Fri,2015,8,219,7,6
220,08-08-2015,8956,Sat,2015,8,220,8,7
221,09-08-2015,7726,Sun,2015,8,221,9,1
222,10-08-2015,12333,Mon,2015,8,222,10,2
223,11-08-2015,13010,Tue,2015,8,223,11,3
224,12-08-2015,12960,Wed,2015,8,224,12,4
225,13-08-2015,12591,Thu,2015,8,225,13,5
226,14-08-2015,12861,Fri,2015,8,226,14,6
227,15-08-2015,8938,Sat,2015,8,227,15,7
228,16-08-2015,7896,Sun,2015,8,228,16,1
229,17-08-2015,12337,Mon,2015,8,229,17,2
230,18-08-2015,13197,Tue,2015,8,230,18,3
231,19-08-2015,12966,Wed,2015,8,231,19,4
232,20-08-2015,13002,Thu,2015,8,232,20,5
233,21-08-2015,12834,Fri,2015,8,233,21,6
234,22-08-2015,9153,Sat,2015,8,234,22,7
235,23-08-2015,7821,Sun,2015,8,235,23,1
236,24-08-2015,12274,Mon,2015,8,236,24,2
237,25-08-2015,13149,Tue,2015,8,237,25,3
238,26-08-2015,12729,Wed,2015,8,238,26,4
239,27-08-2015,12829,Thu,2015,8,239,27,5
240,28-08-2015,12719,Fri,2015,8,240,28,6
241,29-08-2015,8772,Sat,2015,8,241,29,7
242,30-08-2015,7805,Sun,2015,8,242,30,1
243,31-08-2015,12142,Mon,2015,8,243,31,2
244,01-09-2015,13231,Tue,2015,9,244,1,3
245,02-09-2015,12799,Wed,2015,9,245,2,4
246,03-09-2015,12839,Thu,2015,9,246,3,5
247,04-09-2015,12862,Fri,2015,9,247,4,6
248,05-09-2015,8950,Sat,2015,9,248,5,7
249,06-09-2015,7778,Sun,2015,9,249,6,1
250,07-09-2015,8127,Mon,2015,9,250,7,2
251,08-09-2015,12823,Tue,2015,9,251,8,3
252,09-09-2015,13949,Wed,2015,9,252,9,4
253,10-09-2015,13925,Thu,2015,9,253,10,5
254,11-09-2015,12295,Fri,2015,9,254,11,6
255,12-09-2015,9062,Sat,2015,9,255,12,7
256,13-09-2015,7900,Sun,2015,9,256,13,1
257,14-09-2015,12699,Mon,2015,9,257,14,2
258,15-09-2015,13439,Tue,2015,9,258,15,3
259,16-09-2015,13136,Wed,2015,9,259,16,4
260,17-09-2015,13319,Thu,2015,9,260,17,5
261,18-09-2015,13229,Fri,2015,9,261,18,6
262,19-09-2015,9195,Sat,2015,9,262,19,7
263,20-09-2015,8078,Sun,2015,9,263,20,1
264,21-09-2015,12567,Mon,2015,9,264,21,2
265,22-09-2015,13047,Tue,2015,9,265,22,3
266,23-09-2015,12595,Wed,2015,9,266,23,4
267,24-09-2015,12942,Thu,2015,9,267,24,5
268,25-09-2015,12792,Fri,2015,9,268,25,6
269,26-09-2015,8927,Sat,2015,9,269,26,7
270,27-09-2015,7778,Sun,2015,9,270,27,1
271,28-09-2015,12158,Mon,2015,9,271,28,2
272,29-09-2015,12791,Tue,2015,9,272,29,3
273,30-09-2015,12284,Wed,2015,9,273,30,4
274,01-10-2015,13043,Thu,2015,10,274,1,5
275,02-10-2015,12399,Fri,2015,10,275,2,6
276,03-10-2015,8579,Sat,2015,10,276,3,7
277,04-10-2015,7530,Sun,2015,10,277,4,1
278,05-10-2015,12166,Mon,2015,10,278,5,2
279,06-10-2015,12520,Tue,2015,10,279,6,3
280,07-10-2015,12429,Wed,2015,10,280,7,4
281,08-10-2015,12458,Thu,2015,10,281,8,5
282,09-10-2015,12282,Fri,2015,10,282,9,6
283,10-10-2015,8550,Sat,2015,10,283,10,7
284,11-10-2015,7571,Sun,2015,10,284,11,1
285,12-10-2015,11633,Mon,2015,10,285,12,2
286,13-10-2015,12094,Tue,2015,10,286,13,3
287,14-10-2015,12205,Wed,2015,10,287,14,4
288,15-10-2015,12522,Thu,2015,10,288,15,5
289,16-10-2015,11917,Fri,2015,10,289,16,6
290,17-10-2015,8233,Sat,2015,10,290,17,7
291,18-10-2015,7211,Sun,2015,10,291,18,1
292,19-10-2015,11388,Mon,2015,10,292,19,2
293,20-10-2015,12500,Tue,2015,10,293,20,3
294,21-10-2015,12093,Wed,2015,10,294,21,4
295,22-10-2015,12013,Thu,2015,10,295,22,5
296,23-10-2015,11942,Fri,2015,10,296,23,6
297,24-10-2015,8239,Sat,2015,10,297,24,7
298,25-10-2015,7288,Sun,2015,10,298,25,1
299,26-10-2015,11923,Mon,2015,10,299,26,2
300,27-10-2015,12485,Tue,2015,10,300,27,3
301,28-10-2015,12266,Wed,2015,10,301,28,4
302,29-10-2015,11950,Thu,2015,10,302,29,5
303,30-10-2015,11529,Fri,2015,10,303,30,6
304,31-10-2015,8049,Sat,2015,10,304,31,7
305,01-11-2015,7731,Sun,2015,11,305,1,1
306,02-11-2015,12236,Mon,2015,11,306,2,2
307,03-11-2015,12524,Tue,2015,11,307,3,3
308,04-11-2015,12279,Wed,2015,11,308,4,4
309,05-11-2015,12452,Thu,2015,11,309,5,5
310,06-11-2015,11909,Fri,2015,11,310,6,6
311,07-11-2015,8517,Sat,2015,11,311,7,7
312,08-11-2015,7324,Sun,2015,11,312,8,1
313,09-11-2015,11688,Mon,2015,11,313,9,2
314,10-11-2015,12451,Tue,2015,11,314,10,3
315,11-11-2015,12311,Wed,2015,11,315,11,4
316,12-11-2015,12329,Thu,2015,11,316,12,5
317,13-11-2015,11643,Fri,2015,11,317,13,6
318,14-11-2015,8221,Sat,2015,11,318,14,7
319,15-11-2015,7378,Sun,2015,11,319,15,1
320,16-11-2015,11791,Mon,2015,11,320,16,2
321,17-11-2015,12321,Tue,2015,11,321,17,3
322,18-11-2015,12230,Wed,2015,11,322,18,4
323,19-11-2015,12504,Thu,2015,11,323,19,5
324,20-11-2015,12495,Fri,2015,11,324,20,6
325,21-11-2015,8392,Sat,2015,11,325,21,7
326,22-11-2015,7427,Sun,2015,11,326,22,1
327,23-11-2015,12419,Mon,2015,11,327,23,2
328,24-11-2015,13051,Tue,2015,11,328,24,3
329,25-11-2015,11745,Wed,2015,11,329,25,4
330,26-11-2015,7332,Thu,2015,11,330,26,5
331,27-11-2015,8942,Fri,2015,11,331,27,6
332,28-11-2015,7734,Sat,2015,11,332,28,7
333,29-11-2015,7230,Sun,2015,11,333,29,1
334,30-11-2015,12214,Mon,2015,11,334,30,2
335,01-12-2015,13185,Tue,2015,12,335,1,3
336,02-12-2015,12708,Wed,2015,12,336,2,4
337,03-12-2015,12281,Thu,2015,12,337,3,5
338,04-12-2015,11828,Fri,2015,12,338,4,6
339,05-12-2015,8262,Sat,2015,12,339,5,7
340,06-12-2015,7194,Sun,2015,12,340,6,1
341,07-12-2015,11567,Mon,2015,12,341,7,2
342,08-12-2015,12328,Tue,2015,12,342,8,3
343,09-12-2015,11857,Wed,2015,12,343,9,4
344,10-12-2015,12259,Thu,2015,12,344,10,5
345,11-12-2015,11406,Fri,2015,12,345,11,6
346,12-12-2015,8073,Sat,2015,12,346,12,7
347,13-12-2015,7262,Sun,2015,12,347,13,1
348,14-12-2015,11753,Mon,2015,12,348,14,2
349,15-12-2015,12437,Tue,2015,12,349,15,3
350,16-12-2015,12282,Wed,2015,12,350,16,4
351,17-12-2015,12339,Thu,2015,12,351,17,5
352,18-12-2015,12247,Fri,2015,12,352,18,6
353,19-12-2015,8368,Sat,2015,12,353,19,7
354,20-12-2015,7361,Sun,2015,12,354,20,1
355,21-12-2015,12692,Mon,2015,12,355,21,2
356,22-12-2015,13131,Tue,2015,12,356,22,3
357,23-12-2015,11595,Wed,2015,12,357,23,4
358,24-12-2015,8714,Thu,2015,12,358,24,5
359,25-12-2015,6515,Fri,2015,12,359,25,6
360,26-12-2015,7294,Sat,2015,12,360,26,7
361,27-12-2015,7518,Sun,2015,12,361,27,1
362,28-12-2015,13100,Mon,2015,12,362,28,2
363,29-12-2015,13458,Tue,2015,12,363,29,3
364,30-12-2015,13100,Wed,2015,12,364,30,4
365,31-12-2015,11608,Thu,2015,12,365,31,5
